,"{pod=""blackbox-node1-prometheus-blackbox-exporter-5697cc86ff-522gm""}","{pod=""blackbox-node2-prometheus-blackbox-exporter-5c899d66f7-bh4fl""}","{pod=""blackbox-node3-prometheus-blackbox-exporter-54dcd9b7b7-m4gfr""}","{pod=""deployment-deployer-86f7b457d-9bb44""}","{pod=""deployment-optimizer-ff5c9467c-kz92h""}","{pod=""deployment-ricplt-a1mediator-7496d75d99-2jd4n""}","{pod=""deployment-ricplt-alarmmanager-84884b98f5-qdswj""}","{pod=""deployment-ricplt-appmgr-747458c9f7-g77fr""}","{pod=""deployment-ricplt-e2mgr-7d4f7d9d8b-fsmbz""}","{pod=""deployment-ricplt-e2term-opt-e2term-node2-alpha-67db65dd8bmbb74""}","{pod=""deployment-ricplt-e2term-opt-e2term-node3-alpha-759647dfbfnslp4""}","{pod=""deployment-ricplt-o1mediator-7d66bdc88f-t9tcc""}","{pod=""deployment-ricplt-rtmgr-6c957b9f89-2764w""}","{pod=""deployment-ricplt-submgr-6b4496b858-6mbk8""}","{pod=""deployment-ricplt-vespamgr-64f696d589-xp842""}","{pod=""deployment-tiller-ricxapp-6ff54cb9c-24tht""}","{pod=""node-exporter-prometheus-node-exporter-5wpz5""}","{pod=""node-exporter-prometheus-node-exporter-d24ng""}","{pod=""node-exporter-prometheus-node-exporter-kt9xn""}","{pod=""opt1-e2sim-node2-e2sim-helm-86897f588b-8mkdx""}","{pod=""opt1-e2sim-node3-e2sim-helm-597fbf54cd-dv4dx""}","{pod=""opt2-e2sim-node2-e2sim-helm-7b9f777878-cbsln""}","{pod=""opt2-e2sim-node3-e2sim-helm-675c8f7b85-fqbw2""}","{pod=""r4-infrastructure-kong-5f7c57bf95-hlzl8""}","{pod=""r4-infrastructure-prometheus-alertmanager-689bc4d964-c8mx5""}","{pod=""r4-infrastructure-prometheus-server-6587c99cbf-hv6pt""}","{pod=""ricxapp-opt1-xapp1-node2-e22-7577b49cd-xwfdh""}","{pod=""ricxapp-opt1-xapp1-node3-e23-7b8f9478f8-s6s8g""}","{pod=""ricxapp-opt2-xapp1-node2-e22-6b65dcfcf4-smhxm""}","{pod=""ricxapp-opt2-xapp1-node3-e23-5f4c8f6c58-8bxxg""}","{pod=""statefulset-ricplt-dbaas-server-0""}"
2022-12-29 15:40:00,37212160.0,32571392.0,34594816.0,256819200.0,334528512.0,84320256.0,25755648.0,26042368.0,21028864.0,46977024.0,43745280.0,69820416.0,31252480.0,29917184.0,42680320.0,20627456.0,31514624.0,25546752.0,24973312.0,5111808.0,4964352.0,,,1153744896.0,27738112.0,3123380224.0,26394624.0,26116096.0,,,10186752.0
2022-12-29 15:40:01,37212160.0,32571392.0,34594816.0,256819200.0,334528512.0,84320256.0,25755648.0,26042368.0,21028864.0,46977024.0,43745280.0,69820416.0,31252480.0,29917184.0,42680320.0,20627456.0,31514624.0,24952832.0,24973312.0,5111808.0,4964352.0,,,1153744896.0,27738112.0,3123765248.0,26394624.0,26116096.0,,,10186752.0
2022-12-29 15:40:02,37212160.0,32571392.0,34594816.0,256819200.0,334528512.0,84320256.0,25755648.0,26042368.0,21028864.0,46977024.0,43745280.0,69820416.0,31252480.0,29917184.0,42688512.0,20627456.0,31514624.0,24952832.0,24215552.0,5111808.0,5013504.0,,,1153744896.0,27738112.0,3123765248.0,26394624.0,26116096.0,,,10186752.0
2022-12-29 15:40:03,37212160.0,32571392.0,34594816.0,256819200.0,334528512.0,84320256.0,25755648.0,26042368.0,21028864.0,46977024.0,43745280.0,69820416.0,31252480.0,29917184.0,42688512.0,20627456.0,31514624.0,24952832.0,24215552.0,5111808.0,5013504.0,,,1153744896.0,27738112.0,3123765248.0,26431488.0,26116096.0,,,10186752.0
2022-12-29 15:40:04,37212160.0,32571392.0,34594816.0,256819200.0,334528512.0,84320256.0,25755648.0,26042368.0,21028864.0,46977024.0,43745280.0,69820416.0,31252480.0,29917184.0,42688512.0,20627456.0,31514624.0,24952832.0,24215552.0,5111808.0,5013504.0,,,1153875968.0,27738112.0,3123765248.0,26431488.0,26116096.0,,,10186752.0
2022-12-29 15:40:05,37212160.0,32571392.0,34594816.0,256819200.0,334528512.0,84320256.0,25755648.0,26042368.0,21028864.0,46977024.0,43745280.0,69820416.0,31252480.0,29917184.0,42688512.0,20627456.0,31514624.0,24952832.0,24215552.0,5111808.0,5013504.0,,,1153875968.0,27738112.0,3123765248.0,26431488.0,26116096.0,,,9920512.0
2022-12-29 15:40:06,37212160.0,31465472.0,34594816.0,256819200.0,334528512.0,84353024.0,25755648.0,26042368.0,21028864.0,46989312.0,43745280.0,69902336.0,31252480.0,29917184.0,42688512.0,20627456.0,31514624.0,24952832.0,24215552.0,5111808.0,5042176.0,,,1153875968.0,27738112.0,3124101120.0,26431488.0,26116096.0,,,9920512.0
2022-12-29 15:40:07,34316288.0,31465472.0,34594816.0,256819200.0,334528512.0,84353024.0,25755648.0,26083328.0,21028864.0,46989312.0,43745280.0,69902336.0,31252480.0,29917184.0,42688512.0,20627456.0,31514624.0,24952832.0,24215552.0,5111808.0,5042176.0,,,1153875968.0,27738112.0,3124101120.0,26431488.0,26116096.0,,,9920512.0
2022-12-29 15:40:08,34316288.0,31465472.0,33505280.0,256819200.0,334528512.0,84353024.0,25755648.0,26083328.0,21028864.0,46989312.0,43745280.0,69902336.0,31252480.0,29917184.0,42688512.0,20627456.0,31657984.0,24952832.0,24215552.0,5111808.0,5042176.0,,,1153880064.0,27738112.0,3124101120.0,26431488.0,26116096.0,,,9920512.0
2022-12-29 15:40:09,34316288.0,31465472.0,33505280.0,256819200.0,334528512.0,84353024.0,25755648.0,26083328.0,21028864.0,46870528.0,43745280.0,69902336.0,31252480.0,29933568.0,42688512.0,20627456.0,31657984.0,24952832.0,24215552.0,5111808.0,5042176.0,,,1153880064.0,27738112.0,3124101120.0,26431488.0,26116096.0,,,9920512.0
