,"{SIM_ID=""2""}","{SIM_ID=""3""}"
2022-12-29 15:41:50,0.003358875,0.002985099
2022-12-29 15:41:51,0.003303055,0.002023969
2022-12-29 15:41:52,0.000906988,0.00328875
2022-12-29 15:41:53,0.002909344,0.001532235
2022-12-29 15:41:54,0.001605678,0.003863095
2022-12-29 15:41:55,0.00268131,0.002131959
2022-12-29 15:41:56,0.002590599,0.002718418
2022-12-29 15:41:57,0.001482708,0.002168697
2022-12-29 15:41:58,0.002653009,0.000891349
2022-12-29 15:41:59,0.002810139,0.003725528
2022-12-29 15:42:00,0.002802707,0.003654668
